tweet_id,usuario_id
11267,2514
11313,2514
11370,2514
11376,2514
11385,2514
11412,2514
11595,2514
11611,2514
11621,2514
11721,2514
11866,2514
11869,2514
11870,2514
12270,2514
12412,2514
12448,2514
12466,2514
12482,2514
12522,2514
12523,2514
12625,2514
41,4528
2556,4528
42,6520
8987,6520
43,7158
249,7158
383,7158
759,7158
928,7158
1065,7158
1226,7158
1307,7158
1336,7158
1792,7158
1824,7158
1835,7158
1841,7158
2735,7158
2805,7158
2808,7158
2809,7158
2810,7158
2926,7158
46,1456
84,1456
154,1456
291,1456
359,1456
390,1456
391,1456
658,1456
669,1456
679,1456
717,1456
770,1456
771,1456
789,1456
837,1456
862,1456
875,1456
886,1456
937,1456
967,1456
978,1456
999,1456
1263,1456
1273,1456
1341,1456
1395,1456
1416,1456
1500,1456
1510,1456
1511,1456
1602,1456
1659,1456
1713,1456
1893,1456
1957,1456
2093,1456
2097,1456
2146,1456
2151,1456
2168,1456
2173,1456
2218,1456
2282,1456
2418,1456
2419,1456
2421,1456
2502,1456
2510,1456
2537,1456
2602,1456
2749,1456
2776,1456
2935,1456
2943,1456
2967,1456
3283,1456
3298,1456
3301,1456
3399,1456
3478,1456
3514,1456
3522,1456
3707,1456
3708,1456
3745,1456
3818,1456
3868,1456
3890,1456
3894,1456
4638,1456
4861,1456
5283,1456
5366,1456
5489,1456
5590,1456
6030,1456
6116,1456
6852,1456
7106,1456
7204,1456
7711,1456
8609,1456
9025,1456
10520,1456
11278,1456
11865,1456
11925,1456
12021,1456
12209,1456
12267,1456
12318,1456
12363,1456
12451,1456
12505,1456
47,6088
129,6088
218,6088
279,6088
382,6088
519,6088
654,6088
747,6088
834,6088
953,6088
1039,6088
1170,6088
1271,6088
1429,6088
2138,6088
48,3288
119,3288
128,3288
156,3288
219,3288
280,3288
392,3288
528,3288
656,3288
674,3288
775,3288
874,3288
981,3288
1079,3288
1173,3288
1268,3288
1430,3288
1503,3288
1515,3288
1638,3288
1755,3288
1849,3288
1870,3288
2030,3288
2104,3288
2144,3288
2152,3288
2289,3288
2422,3288
2559,3288
2740,3288
2755,3288
2939,3288
3121,3288
3302,3288
3520,3288
3697,3288
3898,3288
4080,3288
4240,3288
4772,3288
4830,3288
5232,3288
5368,3288
5629,3288
6109,3288
6460,3288
6635,3288
6853,3288
7197,3288
8445,3288
11219,3288
50,462
579,462
668,462
1379,462
2154,462
2427,462
2566,462
2744,462
2757,462
3117,462
3305,462
3702,462
3710,462
4084,462
5132,462
5338,462
11272,462
11633,462
12301,462
51,5440
312,5440
546,5440
611,5440
1023,5440
1303,5440
1305,5440
1384,5440
1520,5440
1578,5440
1671,5440
